Date,Time,Volume_CuM,Flow_Av,Sec,Depth
2/07/2019,21:23:02,166955,0,646032040,-19.629
2/07/2019,21:38:02,166955,0,646032040,-19.6306
2/07/2019,21:53:02,166955,0,646032040,-19.6275
2/07/2019,22:08:02,166955,0,646032040,-19.6306
2/07/2019,22:23:02,166955,0,646032040,-19.6337
2/07/2019,22:38:02,166955,0,646032040,-19.6306
2/07/2019,22:53:02,166955,0,646032040,-19.6306
2/07/2019,23:08:02,166955,0,646032040,-19.629
2/07/2019,23:23:02,166955,0,646032040,-19.6212
2/07/2019,23:38:02,166955,0,646032040,-19.6306
2/07/2019,23:53:02,166955,0,646032040,-19.6306
3/07/2019,0:08:02,166955,0,646032040,-19.6306
3/07/2019,0:23:02,166955,0,646032040,-19.6259
3/07/2019,0:38:02,166955,0,646032040,-19.6306
3/07/2019,0:53:02,166955,0,646032040,-19.629
3/07/2019,1:08:02,166955,0,646032040,-19.6228
3/07/2019,1:23:02,166955,0,646032040,-19.6306
3/07/2019,1:38:02,166955,0,646032040,-19.6228
3/07/2019,1:53:02,166955,0,646032040,-19.6275
3/07/2019,2:08:02,166955,0,646032040,-19.629
3/07/2019,2:23:02,166955,0,646032040,-19.6197
3/07/2019,2:38:02,166955,0,646032040,-19.6259
3/07/2019,2:53:02,166955,0,646032040,-19.6181
3/07/2019,3:08:02,166955,0,646032040,-19.6259
3/07/2019,3:23:02,166955,0,646032040,-19.6181
3/07/2019,3:38:02,166955,0,646032040,-19.6259
3/07/2019,3:53:02,166955,0,646032040,-19.6025
3/07/2019,4:08:02,166955,0,646032040,-19.6259
3/07/2019,4:23:02,166955,0,646032040,-19.615
3/07/2019,4:38:02,166955,0,646032040,-19.6197
3/07/2019,4:53:02,166955,0,646032040,-19.6103
3/07/2019,5:08:02,166955,0,646032040,-19.5994
3/07/2019,5:23:02,166955,0,646032040,-19.5947
3/07/2019,5:38:02,166955,0,646032040,-19.6119
3/07/2019,5:53:02,166955,0,646032040,-19.6134
3/07/2019,6:08:02,166955,0,646032040,-19.604
3/07/2019,6:23:02,166955,0,646032040,-19.6119
3/07/2019,6:38:02,166955,0,646032040,-19.59
3/07/2019,6:53:02,166955,0,646032040,-19.5978
3/07/2019,7:08:02,166955,0,646032040,-19.6056
3/07/2019,7:23:02,166955,0,646032040,-19.6103
3/07/2019,7:38:02,166955,0,646032040,-19.59
3/07/2019,7:53:02,166955,0,646032040,-19.5869
3/07/2019,8:08:02,166955,0,646032040,-19.5728
3/07/2019,8:23:02,166955,0,646032040,-19.5744
3/07/2019,8:38:02,166955,0,646032040,-19.565
3/07/2019,8:53:02,166955,0,646032040,-19.59
3/07/2019,9:08:02,166955,0,646032040,-19.5791
3/07/2019,9:23:02,166955,0,646032040,-19.5791
3/07/2019,9:38:02,166955,0,646032040,-19.5791
3/07/2019,9:53:02,166955,0,646032040,-19.5712
3/07/2019,10:08:02,166955,0,646032040,-19.5978
3/07/2019,10:23:02,166955,0,646032040,-19.5712
3/07/2019,10:38:02,166955,0,646032040,-19.5994
