Date,Time,GLOBAL.Flow2,GLOBAL.Volume2,GLOBAL.waterlevel
1/07/19,0:05:36,0,2040028,0
1/07/19,1:05:36,0.025,2040028,0
1/07/19,2:05:36,0.025,2040028,0
1/07/19,3:05:36,0.1875,2040028,0
1/07/19,4:05:36,0.1875,2040028,0
1/07/19,5:05:36,0,2040028,0
1/07/19,6:05:36,0,2040028,0
1/07/19,7:05:36,0,2040028,0
1/07/19,8:05:36,0.025,2040028,0
1/07/19,9:05:36,0,2040028,0
1/07/19,10:05:36,0.025,2040028,0
1/07/19,11:05:36,0.025,2040028,0
1/07/19,12:05:36,0,2040028,0
1/07/19,13:05:36,0.1875,2040028,0
1/07/19,14:05:36,0,2040028,0
1/07/19,15:05:36,0.025,2040028,0
1/07/19,16:05:36,0.1875,2040028,0
1/07/19,17:05:36,0.025,2040028,0
1/07/19,18:05:36,0,2040028,0
1/07/19,19:05:36,0,2040028,0
1/07/19,20:05:36,0,2040028,0
1/07/19,21:05:36,0,2040028,0
1/07/19,22:05:36,0.1875,2040028,0
1/07/19,23:05:36,0,2040028,0
2/07/19,0:05:36,0.025,2040028,0
2/07/19,1:05:36,0,2040028,0
2/07/19,2:05:36,0.1875,2040028,0
2/07/19,3:05:36,0.025,2040028,0
2/07/19,4:05:36,0,2040028,0
2/07/19,5:05:36,0,2040028,0
2/07/19,6:05:36,0,2040028,0
2/07/19,7:05:36,0,2040028,0
2/07/19,8:05:36,0,2040028,0
2/07/19,9:05:36,0.025,2040028,0
2/07/19,10:05:36,0.1875,2040028,0
2/07/19,11:05:36,0,2040028,0
2/07/19,12:05:36,0,2040028,0
2/07/19,13:05:36,0,2040028,0
2/07/19,14:05:36,0,2040028,0
2/07/19,15:05:36,0.025,2040028,0
2/07/19,16:05:36,0,2040028,0
2/07/19,17:05:36,0,2040028,0
2/07/19,18:05:36,0,2040028,0
2/07/19,19:05:36,0,2040028,0
2/07/19,20:05:36,0,2040028,0
2/07/19,21:05:36,0,2040028,0
2/07/19,22:05:36,0.025,2040028,0
2/07/19,23:05:36,0,2040028,0
3/07/19,0:05:36,0.025,2040028,0
3/07/19,1:05:36,0,2040028,0
3/07/19,2:05:36,0,2040028,0
3/07/19,3:05:36,0,2040028,0
3/07/19,4:05:36,0,2040028,0
3/07/19,5:05:36,0.025,2040028,0
3/07/19,6:05:36,0,2040028,0
3/07/19,7:05:36,0,2040028,0
3/07/19,8:05:36,0.025,2040028,0
3/07/19,9:05:36,0.1875,2040028,0
3/07/19,10:05:36,0.025,2040028,0
3/07/19,11:05:36,0,2040028,0
3/07/19,12:05:36,0,2040028,0
3/07/19,13:05:36,0,2040028,0
3/07/19,14:05:36,0.1875,2040028,0
3/07/19,15:05:36,0.1875,2040028,0
3/07/19,15:23:56,1.7825,2040028,0
3/07/19,16:23:56,0.1875,2040028,0
3/07/19,17:23:56,0,2040028,0
3/07/19,18:23:56,0.1875,2040028,0
3/07/19,19:23:56,0,2040028,0
3/07/19,19:54:25,2.265,2040028,0
3/07/19,20:54:25,0.1875,2040028,0
3/07/19,21:54:25,0,2040028,0
3/07/19,22:54:25,0.1875,2040028,0
3/07/19,23:54:25,0.025,2040028,0
