Date_Time_Readings,Acc
2019-07-01 00:05:36,2040028
2019-07-01 01:05:36,2040028
2019-07-01 02:05:36,2040028
2019-07-01 03:05:36,2040028
2019-07-01 04:05:36,2040028
2019-07-01 05:05:36,2040028
2019-07-01 06:05:36,2040028
2019-07-01 07:05:36,2040028
2019-07-01 08:05:36,2040028
2019-07-01 09:05:36,2040028
2019-07-01 10:05:36,2040028
2019-07-01 11:05:36,2040028
2019-07-01 12:05:36,2040028
2019-07-01 13:05:36,2040028
2019-07-01 14:05:36,2040028
2019-07-01 15:05:36,2040028
2019-07-01 16:05:36,2040028
2019-07-01 17:05:36,2040028
2019-07-01 18:05:36,2040028
2019-07-01 19:05:36,2040028
2019-07-01 20:05:36,2040028
2019-07-01 21:05:36,2040028
2019-07-01 22:05:36,2040028
2019-07-01 23:05:36,2040028
2019-07-02 00:05:36,2040028
2019-07-02 01:05:36,2040028
2019-07-02 02:05:36,2040028
2019-07-02 03:05:36,2040028
2019-07-02 04:05:36,2040028
2019-07-02 05:05:36,2040028
2019-07-02 06:05:36,2040028
2019-07-02 07:05:36,2040028
2019-07-02 08:05:36,2040028
2019-07-02 09:05:36,2040028
2019-07-02 10:05:36,2040028
2019-07-02 11:05:36,2040028
2019-07-02 12:05:36,2040028
2019-07-02 13:05:36,2040028
2019-07-02 14:05:36,2040028
2019-07-02 15:05:36,2040028
2019-07-02 16:05:36,2040028
2019-07-02 17:05:36,2040028
2019-07-02 18:05:36,2040028
2019-07-02 19:05:36,2040028
2019-07-02 20:05:36,2040028
2019-07-02 21:05:36,2040028
2019-07-02 22:05:36,2040028
2019-07-02 23:05:36,2040028
2019-07-03 00:05:36,2040028
2019-07-03 01:05:36,2040028
2019-07-03 02:05:36,2040028
2019-07-03 03:05:36,2040028
2019-07-03 04:05:36,2040028
2019-07-03 05:05:36,2040028
2019-07-03 06:05:36,2040028
2019-07-03 07:05:36,2040028
2019-07-03 08:05:36,2040028
2019-07-03 09:05:36,2040028
2019-07-03 10:05:36,2040028
2019-07-03 11:05:36,2040028
2019-07-03 12:05:36,2040028
2019-07-03 13:05:36,2040028
2019-07-03 14:05:36,2040028
2019-07-03 15:05:36,2040028
2019-07-03 15:23:56,2040028
2019-07-03 16:23:56,2040028
2019-07-03 17:23:56,2040028
2019-07-03 18:23:56,2040028
2019-07-03 19:23:56,2040028
2019-07-03 19:54:25,2040028
2019-07-03 20:54:25,2040028
2019-07-03 21:54:25,2040028
2019-07-03 22:54:25,2040028
2019-07-03 23:54:25,2040028
2019-07-04 00:54:25,2040028
2019-07-04 01:54:25,2040028
2019-07-04 02:54:25,2040028
2019-07-04 03:54:25,2040028
2019-07-04 04:54:25,2040028
2019-07-04 05:54:25,2040028
2019-07-04 06:54:25,2040028
2019-07-04 07:54:25,2040028
2019-07-04 08:54:25,2040028
2019-07-04 09:54:25,2040028
2019-07-04 10:54:25,2040028
2019-07-04 11:54:25,2040028
2019-07-04 12:54:25,2040028
2019-07-04 13:54:25,2040028
2019-07-04 14:54:25,2040028
2019-07-04 15:54:25,2040028
2019-07-04 16:54:25,2040028
2019-07-04 17:54:25,2040028
2019-07-04 18:54:25,2040028
2019-07-04 19:54:25,2040028
2019-07-04 20:54:25,2040028
2019-07-04 21:54:25,2040028
2019-07-04 22:54:25,2040028
2019-07-04 23:54:25,2040028
2019-07-05 00:54:25,2040028
2019-07-05 01:54:25,2040028
2019-07-05 02:54:25,2040028
2019-07-05 03:54:25,2040028
2019-07-05 04:54:25,2040028
2019-07-05 05:54:25,2040028
2019-07-05 06:54:25,2040028
2019-07-05 07:54:25,2040028
2019-07-05 08:54:25,2040028
2019-07-05 09:54:25,2040028
2019-07-05 10:54:25,2040028
2019-07-05 11:54:25,2040028
2019-07-05 12:54:25,2040028
2019-07-05 13:54:25,2040028
2019-07-05 14:54:25,2040028
2019-07-05 15:54:25,2040028
2019-07-05 16:54:25,2040028
2019-07-05 17:54:25,2040028
2019-07-05 18:54:25,2040028
2019-07-05 19:54:25,2040028
2019-07-05 20:54:25,2040028
2019-07-05 21:54:25,2040028
2019-07-05 22:54:25,2040028
2019-07-05 23:54:25,2040028
2019-07-06 00:54:25,2040028
2019-07-06 01:54:25,2040028
2019-07-06 02:54:25,2040028
2019-07-06 03:54:25,2040028
2019-07-06 04:54:25,2040028
2019-07-06 05:54:25,2040028
2019-07-06 06:54:25,2040028
2019-07-06 07:54:25,2040028
2019-07-06 08:54:25,2040028
2019-07-06 09:54:25,2040028
2019-07-06 10:54:25,2040028
2019-07-06 11:54:25,2040028
2019-07-06 12:54:25,2040028
2019-07-06 13:54:25,2040028
2019-07-06 14:54:25,2040028
2019-07-06 15:54:25,2040028
2019-07-06 16:54:25,2040028
2019-07-06 17:54:25,2040028
2019-07-06 18:54:25,2040028
2019-07-06 19:54:25,2040028
2019-07-06 20:54:25,2040028
2019-07-06 21:54:25,2040028
2019-07-06 22:54:25,2040028
2019-07-06 23:54:25,2040028
2019-07-07 00:54:25,2040028
2019-07-07 01:54:25,2040028
2019-07-07 02:54:25,2040028
2019-07-07 03:54:25,2040028
2019-07-07 04:54:25,2040028
2019-07-07 05:54:25,2040028
2019-07-07 06:54:25,2040028
2019-07-07 07:54:25,2040028
2019-07-07 08:54:25,2040028
2019-07-07 09:54:25,2040028
2019-07-07 10:54:25,2040028
2019-07-07 11:54:25,2040028
2019-07-07 12:54:25,2040028
2019-07-07 13:54:25,2040028
2019-07-07 14:54:25,2040028
2019-07-07 15:54:25,2040028
2019-07-07 16:54:25,2040028
2019-07-07 17:54:25,2040028
2019-07-07 18:54:25,2040028
2019-07-07 19:54:25,2040028
2019-07-07 20:54:25,2040028
2019-07-07 21:54:25,2040028
2019-07-07 22:54:25,2040028
2019-07-07 23:54:25,2040028
2019-07-08 00:54:25,2040028
2019-07-08 01:54:25,2040028
2019-07-08 02:54:25,2040028
2019-07-08 03:54:25,2040028
2019-07-08 04:54:25,2040028
2019-07-08 05:54:25,2040028
2019-07-08 06:54:25,2040028
2019-07-08 07:54:25,2040028
2019-07-08 08:54:25,2040028
2019-07-08 09:54:25,2040028
2019-07-08 10:54:25,2040028
2019-07-08 11:54:25,2040028
2019-07-08 12:54:25,2040028
2019-07-08 13:54:25,2040028
2019-07-08 14:54:25,2040028
2019-07-08 15:54:25,2040028
2019-07-08 16:54:25,2040028
2019-07-08 17:54:25,2040028
2019-07-08 18:54:25,2040028
2019-07-08 19:54:25,2040028
2019-07-08 20:54:25,2040028
2019-07-08 21:54:25,2040028
2019-07-08 22:54:25,2040028
2019-07-08 23:54:25,2040028
2019-07-09 00:54:25,2040028
2019-07-09 01:54:25,2040028
2019-07-09 02:54:25,2040028
2019-07-09 03:54:25,2040028
2019-07-09 04:54:25,2040028
2019-07-09 05:54:25,2040028
2019-07-09 06:54:25,2040028
2019-07-09 07:54:25,2040028
2019-07-09 08:54:25,2040028
2019-07-09 09:54:25,2040028
2019-07-09 10:54:25,2040028
2019-07-09 11:54:25,2040028
2019-07-09 12:54:25,2040028
2019-07-09 13:54:25,2040028
2019-07-09 14:54:25,2040028
2019-07-09 15:54:25,2040028
2019-07-09 16:54:25,2040028
2019-07-09 17:54:25,2040028
2019-07-09 18:54:25,2040028
2019-07-09 19:54:25,2040028
2019-07-09 20:54:25,2040028
2019-07-09 21:54:25,2040028
2019-07-09 22:54:25,2040028
2019-07-09 23:54:25,2040028
2019-07-10 00:54:25,2040028
2019-07-10 01:54:25,2040028
2019-07-10 02:54:25,2040028
2019-07-10 03:54:25,2040028
2019-07-10 04:54:25,2040028
2019-07-10 05:54:25,2040028
2019-07-10 06:54:25,2040028
2019-07-10 07:54:25,2040028
2019-07-10 08:54:25,2040028
2019-07-10 09:54:25,2040028
2019-07-10 10:54:25,2040028
2019-07-10 11:54:25,2040028
2019-07-10 12:54:25,2040028
2019-07-10 13:54:25,2040028
2019-07-10 14:54:25,2040028
2019-07-10 15:54:25,2040028
2019-07-10 16:54:25,2040028
2019-07-10 17:54:25,2040028
2019-07-10 18:54:25,2040028
2019-07-10 19:54:25,2040028
2019-07-10 20:54:25,2040028
2019-07-10 21:54:25,2040028
2019-07-10 22:54:25,2040028
2019-07-10 23:54:25,2040028
2019-07-11 00:54:25,2040028
2019-07-11 01:54:25,2040028
2019-07-11 02:54:25,2040028
2019-07-11 03:54:25,2040028
2019-07-11 04:54:25,2040028
2019-07-11 05:54:25,2040028
2019-07-11 06:54:25,2040028
2019-07-11 07:54:25,2040028
2019-07-11 08:54:25,2040028
2019-07-11 09:54:25,2040028
2019-07-11 10:54:25,2040028
2019-07-11 11:54:25,2040028
2019-07-11 12:54:25,2040028
2019-07-11 13:54:25,2040028
2019-07-11 14:54:25,2040028
2019-07-11 15:54:25,2040028
2019-07-11 16:54:25,2040028
2019-07-11 17:54:25,2040028
2019-07-11 18:54:25,2040028
