Date,Time,GLOBAL.Flow1,GLOBAL.Volume1,GLOBAL.waterlevel
6/07/2019,2:54:25,0.025,2425374,0
6/07/2019,3:54:25,0,2425374,0
6/07/2019,4:54:25,0.025,2425374,0
6/07/2019,5:54:25,0,2425374,0
6/07/2019,6:54:25,0.1875,2425374,0
6/07/2019,7:54:25,0.025,2425374,0
6/07/2019,8:54:25,0.025,2425374,0
6/07/2019,9:54:25,0,2425374,0
6/07/2019,10:54:25,0,2425374,0
6/07/2019,11:54:25,0,2425374,0
6/07/2019,12:54:25,0,2425374,0
6/07/2019,13:54:25,0.1875,2425374,0
6/07/2019,14:54:25,0,2425374,0
6/07/2019,15:54:25,0,2425374,0
6/07/2019,16:54:25,0.025,2425374,0
6/07/2019,17:54:25,0.1875,2425374,0
6/07/2019,18:54:25,0.1875,2425374,0
6/07/2019,19:54:25,0,2425374,0
6/07/2019,20:54:25,0,2425374,0
6/07/2019,21:54:25,0.1875,2425374,0
6/07/2019,22:54:25,0.025,2425374,0
6/07/2019,23:54:25,0,2425374,0
7/07/2019,0:54:25,0,2425374,0
7/07/2019,1:54:25,0.1875,2425374,0
7/07/2019,2:54:25,0.025,2425374,0
7/07/2019,3:54:25,0.025,2425374,0
7/07/2019,4:54:25,0,2425374,0
7/07/2019,5:54:25,0.025,2425374,0
7/07/2019,6:54:25,0.025,2425374,0
7/07/2019,7:54:25,0,2425374,0
7/07/2019,8:54:25,0.025,2425374,0
7/07/2019,9:54:25,0,2425374,0
7/07/2019,10:54:25,0,2425374,0
7/07/2019,11:54:25,0,2425374,0
7/07/2019,12:54:25,0.1875,2425374,0
7/07/2019,13:54:25,0,2425374,0
7/07/2019,14:54:25,0,2425374,0
7/07/2019,15:54:25,0,2425374,0
7/07/2019,16:54:25,0.1875,2425374,0
7/07/2019,17:54:25,0.1875,2425374,0
7/07/2019,18:54:25,0.025,2425374,0
7/07/2019,19:54:25,0.025,2425374,0
7/07/2019,20:54:25,0,2425374,0
7/07/2019,21:54:25,0.345,2425374,0
7/07/2019,22:54:25,0.025,2425374,0
7/07/2019,23:54:25,0,2425374,0
8/07/2019,0:54:25,0,2425374,0
8/07/2019,1:54:25,0,2425374,0
8/07/2019,2:54:25,0,2425374,0
8/07/2019,3:54:25,0.1875,2425374,0
8/07/2019,4:54:25,0.025,2425374,0
8/07/2019,5:54:25,0,2425374,0
8/07/2019,6:54:25,0.1875,2425374,0
8/07/2019,7:54:25,0.025,2425374,0
8/07/2019,8:54:25,0,2425374,0
8/07/2019,9:54:25,0.025,2425374,0
8/07/2019,10:54:25,0.1875,2425374,0
8/07/2019,11:54:25,0,2425374,0
8/07/2019,12:54:25,0,2425374,0
8/07/2019,13:54:25,0,2425374,0
8/07/2019,14:54:25,0,2425374,0
8/07/2019,15:54:25,0,2425374,0
8/07/2019,16:54:25,0,2425374,0
8/07/2019,17:54:25,0,2425374,0
8/07/2019,18:54:25,0.1875,2425374,0
8/07/2019,19:54:25,0.025,2425374,0
8/07/2019,20:54:25,0,2425374,0
8/07/2019,21:54:25,0,2425374,0
8/07/2019,22:54:25,0.025,2425374,0
8/07/2019,23:54:25,0.1875,2425374,0
9/07/2019,0:54:25,0.1875,2425374,0
9/07/2019,1:54:25,0,2425374,0
9/07/2019,2:54:25,0,2425374,0
9/07/2019,3:54:25,0.1875,2425374,0
9/07/2019,4:54:25,0.025,2425374,0
9/07/2019,5:54:25,0,2425374,0
9/07/2019,6:54:25,0.025,2425374,0
9/07/2019,7:54:25,0,2425374,0
9/07/2019,8:54:25,0.025,2425374,0
9/07/2019,9:54:25,0,2425374,0
9/07/2019,10:54:25,0,2425374,0
9/07/2019,11:54:25,0,2425374,0
9/07/2019,12:54:25,0,2425374,0
9/07/2019,13:54:25,0,2425374,0
9/07/2019,14:54:25,0,2425374,0
9/07/2019,15:54:25,0,2425374,0
9/07/2019,16:54:25,0,2425374,0
9/07/2019,17:54:25,0,2425374,0
9/07/2019,18:54:25,0,2425374,0
9/07/2019,19:54:25,0,2425374,0
9/07/2019,20:54:25,0,2425374,0
9/07/2019,21:54:25,0.1875,2425374,0
9/07/2019,22:54:25,0,2425374,0
9/07/2019,23:54:25,0,2425374,0
10/07/2019,0:54:25,0.1875,2425374,0
10/07/2019,1:54:25,0,2425374,0
10/07/2019,2:54:25,0.1875,2425374,0
10/07/2019,3:54:25,0,2425374,0
10/07/2019,4:54:25,0.025,2425374,0
10/07/2019,5:54:25,0,2425374,0
10/07/2019,6:54:25,0,2425374,0
10/07/2019,7:54:25,0.025,2425374,0
10/07/2019,8:54:25,0.025,2425374,0
10/07/2019,9:54:25,0.1875,2425374,0
10/07/2019,10:54:25,0.1875,2425374,0
10/07/2019,11:54:25,0.1875,2425374,0
10/07/2019,12:54:25,0.1875,2425374,0
10/07/2019,13:54:25,0,2425374,0
10/07/2019,14:54:25,0,2425374,0
10/07/2019,15:54:25,0,2425374,0
10/07/2019,16:54:25,0,2425374,0
10/07/2019,17:54:25,0.025,2425374,0
10/07/2019,18:54:25,0,2425374,0
10/07/2019,19:54:25,0,2425374,0
10/07/2019,20:54:25,0.1875,2425374,0
10/07/2019,21:54:25,0,2425374,0
10/07/2019,22:54:25,0.025,2425374,0
10/07/2019,23:54:25,0,2425374,0
11/07/2019,0:54:25,0.025,2425374,0
11/07/2019,1:54:25,0,2425374,0
11/07/2019,2:54:25,0,2425374,0
11/07/2019,3:54:25,0,2425374,0
11/07/2019,4:54:25,0,2425374,0
11/07/2019,5:54:25,0.1875,2425374,0
11/07/2019,6:54:25,0,2425374,0
11/07/2019,7:54:25,0,2425374,0
11/07/2019,8:54:25,0.1875,2425374,0
11/07/2019,9:54:25,0.025,2425374,0
11/07/2019,10:54:25,0.1875,2425374,0
11/07/2019,11:54:25,0.1875,2425374,0
11/07/2019,12:54:25,0,2425374,0
11/07/2019,13:54:25,0.1875,2425374,0
11/07/2019,14:54:25,0.1875,2425374,0
11/07/2019,15:54:25,0,2425374,0
11/07/2019,16:54:25,0.025,2425374,0
11/07/2019,17:54:25,0,2425374,0
11/07/2019,18:54:25,0.025,2425374,0
11/07/2019,19:54:25,0.025,2425374,0
11/07/2019,20:54:25,0.1875,2425374,0
11/07/2019,21:54:25,0.1875,2425374,0
11/07/2019,22:54:25,0,2425374,0
11/07/2019,23:54:25,0.025,2425374,0
12/07/2019,0:54:25,0,2425374,0
12/07/2019,1:54:25,0.1875,2425374,0
12/07/2019,2:54:25,0,2425374,0
12/07/2019,3:54:25,0.1875,2425374,0
12/07/2019,4:54:25,0,2425374,0
12/07/2019,5:54:25,0,2425374,0
12/07/2019,6:54:25,0.1875,2425374,0
12/07/2019,7:54:25,0.025,2425374,0
12/07/2019,8:54:25,0,2425374,0
12/07/2019,9:54:25,0.1875,2425374,0
12/07/2019,10:54:25,0,2425374,0
12/07/2019,11:54:25,0,2425374,0
12/07/2019,12:54:25,0.1875,2425374,0
12/07/2019,13:54:25,0.1875,2425374,0
12/07/2019,14:54:25,0.1875,2425374,0
12/07/2019,15:54:25,0.1875,2425374,0
12/07/2019,16:54:25,0,2425374,0
12/07/2019,17:54:25,0,2425374,0
12/07/2019,18:54:25,0,2425374,0
12/07/2019,19:54:25,0,2425374,0
12/07/2019,20:54:25,0,2425374,0
12/07/2019,21:54:25,0.1875,2425374,0
12/07/2019,22:54:25,0,2425374,0
12/07/2019,23:54:25,0.025,2425374,0
13/07/2019,0:54:25,0.025,2425374,0
13/07/2019,1:54:25,0.1875,2425374,0
13/07/2019,2:54:25,0,2425374,0
13/07/2019,3:54:25,0.1875,2425374,0
13/07/2019,4:54:25,0.025,2425374,0
13/07/2019,5:54:25,0.025,2425374,0
13/07/2019,6:54:25,0.025,2425374,0
13/07/2019,7:54:25,0.025,2425374,0
13/07/2019,8:54:25,0.025,2425374,0
13/07/2019,9:54:25,0.1875,2425374,0
13/07/2019,10:54:25,0.025,2425374,0
13/07/2019,11:54:25,0,2425374,0
13/07/2019,12:54:25,0.1875,2425374,0
13/07/2019,13:54:25,0,2425374,0
13/07/2019,14:54:25,0.025,2425374,0
13/07/2019,15:54:25,0.025,2425374,0
13/07/2019,16:54:25,0,2425374,0
13/07/2019,17:54:25,0,2425374,0
13/07/2019,18:54:25,0.025,2425374,0
13/07/2019,19:54:25,0,2425374,0
13/07/2019,20:54:25,0,2425374,0
13/07/2019,21:54:25,0,2425374,0
13/07/2019,22:54:25,0.025,2425374,0
13/07/2019,23:54:25,0.025,2425374,0
14/07/2019,0:54:25,0,2425374,0
14/07/2019,1:54:25,0,2425374,0
14/07/2019,2:54:25,0,2425374,0
14/07/2019,3:54:25,0.025,2425374,0
14/07/2019,4:54:25,0,2425374,0
14/07/2019,5:54:25,0,2425374,0
14/07/2019,6:54:25,0,2425374,0
14/07/2019,7:54:25,0.025,2425374,0
14/07/2019,8:54:25,0,2425374,0
14/07/2019,9:54:25,0.1875,2425374,0
14/07/2019,10:54:25,0.025,2425374,0
14/07/2019,11:54:25,0,2425374,0
14/07/2019,12:54:25,0,2425374,0
14/07/2019,13:54:25,0,2425374,0
14/07/2019,14:54:25,0,2425374,0
14/07/2019,15:54:25,0,2425374,0
14/07/2019,16:54:25,0,2425374,0
14/07/2019,17:54:25,0.1875,2425374,0
14/07/2019,18:54:25,0.025,2425374,0
14/07/2019,19:54:25,0.1875,2425374,0
14/07/2019,20:54:25,0.025,2425374,0
14/07/2019,21:54:25,0.025,2425374,0
14/07/2019,22:54:25,0.025,2425374,0
14/07/2019,23:54:25,0,2425374,0
15/07/2019,0:54:25,0,2425374,0
15/07/2019,1:54:25,0,2425374,0
15/07/2019,2:54:25,0,2425374,0
15/07/2019,3:54:25,0,2425374,0
15/07/2019,4:54:25,0.1875,2425374,0
15/07/2019,5:54:25,0,2425374,0
15/07/2019,6:54:25,0,2425374,0
15/07/2019,7:54:25,0,2425374,0
15/07/2019,8:54:25,0.025,2425374,0
15/07/2019,9:54:25,0.025,2425374,0
15/07/2019,10:54:25,0,2425374,0
15/07/2019,11:54:25,0.1875,2425374,0
15/07/2019,12:54:25,0,2425374,0
15/07/2019,13:54:25,0.1875,2425374,0
15/07/2019,14:54:25,0,2425374,0
15/07/2019,15:54:25,0,2425374,0
15/07/2019,16:54:25,0.025,2425374,0
15/07/2019,17:54:25,0,2425374,0
15/07/2019,18:54:25,0,2425374,0
15/07/2019,19:54:25,0,2425374,0
15/07/2019,20:54:25,0,2425374,0
15/07/2019,21:54:25,0.1875,2425374,0
15/07/2019,22:54:25,0,2425374,0
15/07/2019,23:54:25,0,2425374,0
16/07/2019,0:54:25,0.1875,2425374,0
16/07/2019,1:54:25,0.1875,2425374,0
16/07/2019,2:54:25,0.025,2425374,0
16/07/2019,3:54:25,0,2425374,0
16/07/2019,4:54:25,0.1875,2425374,0
16/07/2019,5:54:25,0,2425374,0
16/07/2019,6:54:25,0.1875,2425374,0
16/07/2019,7:54:25,0,2425374,0
16/07/2019,8:54:25,0.025,2425374,0
16/07/2019,9:54:25,0,2425374,0
16/07/2019,10:54:25,0,2425374,0
16/07/2019,11:54:25,0,2425374,0
16/07/2019,12:54:25,0.1875,2425374,0
16/07/2019,13:54:25,0.1875,2425374,0
16/07/2019,14:54:25,0,2425374,0
16/07/2019,15:54:25,0.025,2425374,0
16/07/2019,16:54:25,0.025,2425374,0
16/07/2019,17:54:25,0.1875,2425374,0
16/07/2019,18:54:25,0,2425374,0
16/07/2019,19:54:25,0.1875,2425374,0
16/07/2019,20:54:25,0.1875,2425374,0
16/07/2019,21:54:25,0,2425374,0
16/07/2019,22:54:25,0,2425374,0
16/07/2019,23:54:25,0,2425374,0
17/07/2019,0:54:25,0,2425374,0
17/07/2019,1:54:25,0.025,2425374,0
17/07/2019,2:54:25,0.025,2425374,0
17/07/2019,3:54:25,0.1875,2425374,0
17/07/2019,4:54:25,0.1875,2425374,0
17/07/2019,5:54:25,0.025,2425374,0
17/07/2019,6:54:25,0.1875,2425374,0
17/07/2019,7:54:25,0,2425374,0
17/07/2019,8:54:25,0.025,2425374,0
17/07/2019,9:54:25,0.1875,2425374,0
17/07/2019,10:54:25,0.025,2425374,0
17/07/2019,11:54:25,0.1875,2425374,0
17/07/2019,12:54:25,0,2425374,0
17/07/2019,13:54:25,0.1875,2425374,0
17/07/2019,14:54:25,0.025,2425374,0
17/07/2019,15:54:25,0.1875,2425374,0
17/07/2019,16:54:25,0.1875,2425374,0
17/07/2019,17:54:25,0,2425374,0
17/07/2019,18:54:25,0.1875,2425374,0
17/07/2019,19:54:25,0,2425374,0
17/07/2019,20:54:25,0,2425374,0
17/07/2019,21:54:25,0.1875,2425374,0
17/07/2019,22:54:25,0,2425374,0
17/07/2019,23:54:25,0.1875,2425374,0
18/07/2019,0:54:25,0.025,2425374,0
18/07/2019,1:54:25,0.025,2425374,0
18/07/2019,2:54:25,0.025,2425374,0
18/07/2019,3:54:25,0.025,2425374,0
